dataset_or_slice,method_type,sampling,sample_size,retriever,retrieval_setting,retrieval_corpus,k,Recall@10,MAP@10,nDCG@10,Hit@10,RelCount@10,Both@10,SRC-only@10,TGT-only@10,Neither@10,PairMRR,notes
ObliQA,controlled_answer_batch,selected_sample,10,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.6666666666666667,0.37203703703703705,0.4592146590416782,0.8,0.8,,,,,,
ObliQA-MP,controlled_answer_batch,selected_sample,10,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.4833333333333333,0.43472222222222223,0.5359132434714071,0.9,1.1,,,,,,
ObliQA-XRef-ADGM,controlled_answer_batch,selected_sample,10,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.95,0.7658333333333334,0.845385460640372,1.0,1.9,0.9,0.0,0.1,0.0,0.3241666666666667,
ObliQA-XRef-ADGM-ALL selected,controlled_answer_batch,xref_selected_breakdown,10,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.95,0.7658333333333334,0.845385460640372,1.0,1.9,0.9,0.0,0.1,0.0,0.3241666666666667,
DPEL selected,controlled_answer_batch,xref_selected_breakdown,3,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.8333333333333334,0.513888888888889,0.663454169367836,1.0,1.6666666666666667,0.6666666666666666,0.0,0.3333333333333333,0.0,0.125,
SCHEMA selected,controlled_answer_batch,xref_selected_breakdown,7,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,1.0,0.8738095238095237,0.9233560140428876,1.0,2.0,1.0,0.0,0.0,0.0,0.40952380952380957,
DPEL + mixed_difficulty selected,controlled_answer_batch,xref_selected_breakdown,2,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.75,0.3958333333333333,0.5565735963827292,1.0,1.5,0.5,0.0,0.5,0.0,0.0625,
DPEL + hard_enriched selected,controlled_answer_batch,xref_selected_breakdown,1,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,1.0,0.75,0.8772153153380493,1.0,2.0,1.0,0.0,0.0,0.0,0.25,
SCHEMA + mixed_difficulty selected,controlled_answer_batch,xref_selected_breakdown,4,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,1.0,0.8541666666666666,0.9032867981913646,1.0,2.0,1.0,0.0,0.0,0.0,0.41666666666666663,
SCHEMA + hard_enriched selected,controlled_answer_batch,xref_selected_breakdown,3,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,1.0,0.9,0.9501149685115848,1.0,2.0,1.0,0.0,0.0,0.0,0.39999999999999997,
