QuestionID,entailment_score,contradiction_score,obligation_coverage_score,composite_score
02b67492c978af4c,0.49612,0.93821,0.1875,0.24847
0349b702678a33b4,0.9617,0.86003,0.15789473684210525,0.41985
0591aa3d477da3ff,0.90073,0.37368,0.058823529411764705,0.52862
05c4049981e21ee1,0.05688,0.62467,0.0,0.14407
069c4ebac76382fa,0.52451,0.23741,0.04838709677419355,0.44516
09838b9f6c8bfde6,0.7046,0.66932,0.09375,0.37634
09ed83603d5c9d13,0.30569,0.97861,0.21428571428571427,0.18046
0aa43bdd4fa0aeef,0.96576,0.92565,0.02857142857142857,0.35623
0b86a8dd09b7f6a1,0.34047,0.35939,0.058823529411764705,0.34663
0c391a5aaaadf674,0.7772,0.0616,0.07142857142857142,0.59568
0cbcd1ed70cdbfc4,0.63207,0.01806,0.07142857142857142,0.56181
0d4d5d0951a0c7ba,0.8508,0.07733,0.08695652173913043,0.62014
0dde26d5c3d14aaa,0.62948,0.50961,0.0,0.37329
0dfaae193077e415,0.4798,0.3507,0.19047619047619047,0.43986
0e8344d7fde15d88,0.99173,0.02375,0.17647058823529413,0.71482
0fb7f44dff94bc01,0.77359,0.44298,0.0,0.44354
0ff015d349726e19,0.7103,0.22242,0.15789473684210525,0.54859
107e53c83dd8a087,0.59346,0.1436,0.2222222222222222,0.55736
108e5fb362447202,0.00693,0.95894,0.11764705882352941,0.05521
11657f7a0addd5b0,0.51446,0.08112,0.0,0.47778
11bd174931ad861f,0.61435,0.56561,0.10526315789473684,0.38467
12a98ee480c6eb4d,0.98576,0.58733,0.06153846153846154,0.48666
13e2c6dabc37e810,0.65036,0.35729,0.35,0.54769
16109e0c76cd2530,0.61635,0.22742,0.16666666666666666,0.51853
1740610f84067dba,0.71673,0.50158,0.05263157894736842,0.42259
19898a90634ce333,0.65823,0.96822,0.0,0.23
1b15ffd901c4255c,0.19052,0.87945,0.09523809523809523,0.13544
1cf29adbe60ceff9,0.11532,0.29699,0.3125,0.37694
1d36db0da27f8524,0.9944,0.7654,0.2727272727272727,0.50058
1d401bad230c5d15,0.73019,0.63228,0.35294117647058826,0.48362
1e44cabdde5dba07,0.02921,0.9932,0.0,0.012
1e6d92a0b27d4f64,0.97465,0.45365,0.13333333333333333,0.55144
1ec10fba652a20c5,0.51369,0.39373,0.16666666666666666,0.42888
1edfd83ca5c475d5,0.75479,0.61976,0.0,0.37834
1f6db018e2c79b51,0.50045,0.01283,0.3,0.59587
21a2f7ed1583ec34,0.96271,0.66252,0.125,0.47506
224cb7198e437d1e,0.68536,0.07329,0.4117647058823529,0.67461
24932c97c0aa918f,0.96729,0.56867,0.1111111111111111,0.50324
25e52fcd84fd629a,0.95579,0.43055,0.0,0.50841
26116ec473f704e9,0.61503,0.03176,0.1111111111111111,0.56479
26121bb86357de40,0.52497,0.0307,0.07692307692307693,0.52373
26521e57b76cc338,0.82978,0.06691,0.5217391304347826,0.76154
266957e404f83720,0.05553,0.12885,0.07142857142857142,0.3327
266b20713f27e058,0.97187,0.35116,0.2,0.6069
27414badd619f00a,0.39402,0.00891,0.06666666666666667,0.48393
29157e6f21af375c,0.32347,0.00573,0.0,0.43925
29ae94415be8f054,0.78419,0.51093,0.2,0.49109
2a10ebf428b39285,0.72561,0.34424,0.0,0.46046
2c8e3ae3db5d806a,0.82265,0.33608,0.0,0.49552
2d1b064c8227dd04,0.61924,0.65116,0.35,0.43936
2d5274e4c0f74850,0.70348,0.49306,0.09090909090909091,0.43378
2f7b9ed27bfb4fa0,0.57708,0.42638,0.18181818181818182,0.44417
2fea47a6406ae439,0.55402,0.86691,0.2857142857142857,0.32427
308a8cc97e7f0fee,0.76259,0.46971,0.12,0.47096
31b4069e65e108d7,0.99124,0.471,0.013888888888888888,0.51138
31e5de7b6bdaf92b,0.25965,0.74664,0.0,0.171
32b1a5242936d2d4,0.52385,0.54859,0.13333333333333333,0.36953
3398a3ba9138a123,0.99398,0.72866,0.08333333333333333,0.44955
3468780b54e5798d,0.73468,0.32456,0.0,0.47004
348acdc11e28c28f,0.74898,0.05803,0.0,0.56365
354688e7c414e4d4,0.49294,0.98745,0.07142857142857142,0.19231
35d47513e050b822,0.24754,0.40478,0.09090909090909091,0.31122
35dbe18a626da3ae,0.52394,0.0265,0.07692307692307693,0.52479
36740f41bad100d1,0.73217,0.18052,0.13333333333333333,0.56166
378e31000801334e,0.96268,0.19016,0.0,0.59084
378fba00a4757407,0.6432,0.35293,0.15384615384615385,0.48137
37f6c7901875ea48,0.50669,0.75651,0.05555555555555555,0.26858
3a9f52453ae801bb,0.12983,0.31608,0.0,0.27125
3b280fa8fac110ca,0.93223,0.98291,0.10526315789473684,0.35153
3c5da5dead56c7d3,0.10774,0.66358,0.07142857142857142,0.17186
3c702c3e6ac64826,0.72252,0.67109,0.047619047619047616,0.36635
3e66ebf46248df60,0.3451,0.64183,0.1,0.26776
3ec2d39910b381b7,0.97914,0.28435,0.16666666666666666,0.62049
3f5e0e841b8b5fc5,0.98428,0.47677,0.05555555555555555,0.52102
41ea903fca058cfa,0.99133,0.00817,0.0,0.66105
425686b143f44a05,0.47528,0.28441,0.1,0.43029
42fad76b1167ac61,0.53171,0.4848,0.06666666666666667,0.37119
444ba8af42e3e1fc,0.9118,0.74801,0.0,0.38793
44c4f1a5ad26bebe,0.4995,0.51516,0.0625,0.34895
44f10b5136e2eacc,0.80963,0.52116,0.21428571428571427,0.50092
4579ce1811cad194,0.80276,0.56562,0.3125,0.51655
45a9a50783eaa7ac,0.81521,0.25775,0.16,0.57249
491213062bd5e280,0.96466,0.97985,0.043478260869565216,0.34276
