QuestionID,entailment_score,contradiction_score,obligation_coverage_score,composite_score
02b67492c978af4c,0.19228,0.92882,0.1875,0.15032
0349b702678a33b4,0.9527,0.77085,0.10526315789473684,0.42904
0591aa3d477da3ff,0.71906,0.48007,0.058823529411764705,0.4326
05c4049981e21ee1,0.02861,0.72037,0.05555555555555555,0.12127
069c4ebac76382fa,0.67988,0.37595,0.04838709677419355,0.45077
09838b9f6c8bfde6,0.64436,0.60766,0.0625,0.3664
09ed83603d5c9d13,0.45312,0.81915,0.21428571428571427,0.28275
0aa43bdd4fa0aeef,0.61338,0.76009,0.05714285714285714,0.30348
0b86a8dd09b7f6a1,0.30664,0.37459,0.029411764705882353,0.32049
0c391a5aaaadf674,0.91347,0.1965,0.07142857142857142,0.59613
0cbcd1ed70cdbfc4,0.4869,0.02255,0.14285714285714285,0.53574
0d4d5d0951a0c7ba,0.97669,0.62368,0.08695652173913043,0.47999
0dde26d5c3d14aaa,0.72778,0.68085,0.029411764705882353,0.35878
0dfaae193077e415,0.90896,0.69862,0.19047619047619047,0.46694
0e8344d7fde15d88,0.98229,0.29305,0.17647058823529413,0.6219
0fb7f44dff94bc01,0.39218,0.24798,0.13333333333333333,0.42584
0ff015d349726e19,0.95583,0.41974,0.15789473684210525,0.56466
107e53c83dd8a087,0.64224,0.37978,0.2777777777777778,0.51341
108e5fb362447202,0.0086,0.98243,0.11764705882352941,0.04794
11657f7a0addd5b0,0.51046,0.16018,0.0,0.45009
11bd174931ad861f,0.62861,0.45467,0.10526315789473684,0.4264
12a98ee480c6eb4d,0.97176,0.56877,0.046153846153846156,0.48305
13e2c6dabc37e810,0.52957,0.72565,0.25,0.35131
16109e0c76cd2530,0.51628,0.01693,0.08333333333333333,0.52756
1740610f84067dba,0.89982,0.42373,0.05263157894736842,0.50957
19898a90634ce333,0.64759,0.96637,0.13333333333333333,0.27152
1b15ffd901c4255c,0.07688,0.98336,0.0,0.03117
1cf29adbe60ceff9,0.10123,0.47829,0.375,0.33265
1d36db0da27f8524,0.79037,0.68437,0.2727272727272727,0.45958
1d401bad230c5d15,0.76386,0.56734,0.4117647058823529,0.53609
1e44cabdde5dba07,0.02921,0.9932,0.0,0.012
1e6d92a0b27d4f64,0.7994,0.33498,0.13333333333333333,0.53258
1ec10fba652a20c5,0.52069,0.41376,0.16666666666666666,0.42453
1edfd83ca5c475d5,0.65695,0.20781,0.04,0.49638
1f6db018e2c79b51,0.50299,0.00846,0.4,0.63151
21a2f7ed1583ec34,0.86275,0.50314,0.125,0.49487
224cb7198e437d1e,0.53065,0.34928,0.47058823529411764,0.55065
24932c97c0aa918f,0.70737,0.51281,0.16666666666666666,0.45374
25e52fcd84fd629a,0.68457,0.45336,0.15384615384615385,0.46169
26116ec473f704e9,0.92388,0.03419,0.1111111111111111,0.66693
26121bb86357de40,0.66757,0.36627,0.07692307692307693,0.45941
26521e57b76cc338,0.50326,0.01642,0.08695652173913043,0.5246
266957e404f83720,0.05717,0.19053,0.07142857142857142,0.31269
266b20713f27e058,0.45519,0.46018,0.2,0.39834
27414badd619f00a,0.60025,0.56599,0.13333333333333333,0.3892
29157e6f21af375c,0.0337,0.12585,0.20833333333333334,0.37206
29ae94415be8f054,0.97051,0.87012,0.2,0.43346
2a10ebf428b39285,0.97872,0.1473,0.13333333333333333,0.65492
2c8e3ae3db5d806a,0.73518,0.38691,0.0,0.44942
2d1b064c8227dd04,0.67426,0.81936,0.0,0.28497
2d5274e4c0f74850,0.01654,0.21285,0.09090909090909091,0.2982
2f7b9ed27bfb4fa0,0.52024,0.03163,0.18181818181818182,0.55681
2fea47a6406ae439,0.5728,0.88565,0.2857142857142857,0.32429
308a8cc97e7f0fee,0.90581,0.57701,0.12,0.48293
31b4069e65e108d7,0.66402,0.09439,0.013888888888888888,0.52784
31e5de7b6bdaf92b,0.25848,0.47483,0.0,0.26122
32b1a5242936d2d4,0.6358,0.27042,0.2,0.52179
3398a3ba9138a123,0.99463,0.8854,0.08333333333333333,0.39752
3468780b54e5798d,0.78618,0.27208,0.0,0.5047
348acdc11e28c28f,0.62151,0.02178,0.0,0.53324
354688e7c414e4d4,0.53417,0.96893,0.07142857142857142,0.21222
35d47513e050b822,0.02864,0.46352,0.18181818181818182,0.24898
35dbe18a626da3ae,0.52949,0.02376,0.07692307692307693,0.52755
36740f41bad100d1,0.41598,0.13967,0.13333333333333333,0.46988
378e31000801334e,0.98032,0.01778,0.0,0.65418
378fba00a4757407,0.64293,0.35745,0.15384615384615385,0.47978
37f6c7901875ea48,0.55806,0.66944,0.16666666666666666,0.35176
3a9f52453ae801bb,0.09869,0.12412,0.0,0.32486
3b280fa8fac110ca,0.67777,0.94719,0.10526315789473684,0.27861
3c5da5dead56c7d3,0.15255,0.51735,0.07142857142857142,0.23554
3c702c3e6ac64826,0.75284,0.67906,0.047619047619047616,0.3738
3e66ebf46248df60,0.36858,0.42217,0.1,0.3488
3ec2d39910b381b7,0.93097,0.45624,0.05555555555555555,0.5101
3f5e0e841b8b5fc5,0.98081,0.43827,0.05555555555555555,0.5327
41ea903fca058cfa,0.50171,0.00368,0.07692307692307693,0.52498
425686b143f44a05,0.44785,0.29873,0.1,0.41637
42fad76b1167ac61,0.12796,0.40465,0.06666666666666667,0.26333
444ba8af42e3e1fc,0.13123,0.65097,0.0,0.16009
44c4f1a5ad26bebe,0.50121,0.51671,0.0625,0.349
44f10b5136e2eacc,0.96027,0.56283,0.2857142857142857,0.56105
4579ce1811cad194,0.77371,0.53809,0.375,0.53687
45a9a50783eaa7ac,0.57733,0.03419,0.2,0.58105
491213062bd5e280,0.76476,0.91247,0.13043478260869565,0.32757
49814819a48b39d2,0.39145,0.04027,0.3333333333333333,0.5615
49ab41f32480f744,0.8057,0.11093,0.058823529411764705,0.58453
4b1d13b12d88933b,0.5309,0.35442,0.0,0.39216
4c0e94f1f57e7208,0.77,0.65547,0.03571428571428571,0.38341
4c3bb302c67d0fe1,0.60521,0.33994,0.058823529411764705,0.44136
4ead79e9a98f9022,0.794,0.44655,0.047619047619047616,0.46502
4ed931fcf684bba4,0.98422,0.18896,0.13333333333333333,0.64286
5045b60add4db7fc,0.40876,0.40453,0.0,0.33474
5054ad15da0df109,0.49524,0.6184,0.0,0.29228
517358dc4833af4b,0.49469,0.72951,0.0,0.25506
51cefb12bc2986e7,0.00714,0.99445,0.0,0.00423
52bf9513e7405214,0.22326,0.00703,0.14285714285714285,0.45303
52c33eec1da49b69,0.77324,0.86536,0.0625,0.32346
52e3433641be550d,0.67868,0.03268,0.05,0.56533
536f2d2c37481d91,0.27835,0.15257,0.05555555555555555,0.39378
5576453226235339,0.32536,0.69857,0.0,0.20893
55eafc2dc939a3ce,0.31511,0.8049,0.0,0.17007
576667d2163093ae,0.62632,0.27048,0.06666666666666667,0.47417
57a7a47bd0d5c426,0.02028,0.99419,0.0,0.0087
59270874b9e24609,0.65216,0.16585,0.5714285714285714,0.68591
59512ca82d2a70e9,0.32333,0.32429,0.1,0.36635
59c4164967e3f0d7,0.26742,0.65445,0.09090909090909091,0.23463
59e7f2f71a0f67fa,0.78417,0.29057,0.2777777777777778,0.59046
5a4337aa28e75bf1,0.01847,0.99407,0.0,0.00813
5a56c567cdf6cdf0,0.08252,0.66876,0.17647058823529413,0.19674
5af94134a1557808,0.95742,0.81342,0.35714285714285715,0.50038
5b25e6b288de8e80,0.35945,0.20666,0.29411764705882354,0.4823
5b85f6cf5b6b2326,0.97619,0.92603,0.21428571428571427,0.42148
5c2d4efc33624145,0.64092,0.53215,0.17647058823529413,0.42841
5c7fe01566ac14da,0.16824,0.46252,0.07142857142857142,0.25905
5cd7f28a8f804920,0.65716,0.69738,0.08333333333333333,0.3477
5e8c91ac0c1d6ca1,0.97632,0.14519,0.08333333333333333,0.63815
5ee3b0604c3a41aa,0.50491,0.49003,0.0,0.33829
5fb853050fce5c39,0.44224,0.63065,0.06666666666666667,0.29275
6095cbce8b3e90c8,0.50839,0.21801,0.0,0.43013
60cf902963e219a3,0.49898,0.06452,0.07142857142857142,0.50196
6110e9833cd25477,0.03215,0.05919,0.0,0.32432
620d45f3d7caef6f,0.9342,0.54605,0.1875,0.52522
634dd388d0fce73c,0.43427,0.18043,0.13333333333333333,0.46239
6376c98d70bea1a5,0.67749,0.02796,0.07692307692307693,0.57548
63fe64707c2c07eb,0.72679,0.52071,0.14285714285714285,0.44965
64028a83fb8b6943,0.56823,0.74633,0.1875,0.33647
64c95d01d4d1bf2b,0.04849,0.98997,0.038461538461538464,0.03233
655682ad5a78c676,0.70816,0.60953,0.05555555555555555,0.38473
667778edfbd645eb,0.59913,0.96183,0.058823529411764705,0.23204
697bd316ed4d37a9,0.74458,0.70687,0.11764705882352941,0.38512
69818007e4d4166b,0.41533,0.41772,0.0,0.33254
6c6188d8a35ed39c,0.615,0.08656,0.07142857142857142,0.53329
6eb6bbf3d0203c30,0.96549,0.70434,0.42857142857142855,0.56324
6f627f764fc8dc77,0.07024,0.99401,0.0,0.02541
