dataset,QuestionID,general_entailment_score,task_aware_entailment_score,delta_entailment_score,general_contradiction_score,task_aware_contradiction_score,delta_contradiction_score,contradiction_reduction,general_obligation_coverage_score,task_aware_obligation_coverage_score,delta_obligation_coverage_score,general_composite_score,task_aware_composite_score,delta_composite_score,composite_winner
obliqa,010be7f5-8ec1-4d65-9626-d2912918abbf,0.32136,0.00989,-0.31146999999999997,0.11111,0.64294,0.5318299999999999,-0.5318299999999999,0.13333333333333333,0.0,-0.13333333333333333,0.44786,0.12232,-0.32554,general
obliqa,027ac86e-aa7e-4565-8750-2fe4ba83e370,0.99483,0.02014,-0.97469,0.98284,0.99571,0.012869999999999937,-0.012869999999999937,0.07142857142857142,0.0,-0.07142857142857142,0.36114,0.00814,-0.35300000000000004,general
obliqa,0322a129-a377-49b6-8cff-4009ee7a110e,0.41218,0.37533,-0.036849999999999994,0.0131,0.0129,-0.00020000000000000052,0.00020000000000000052,0.2631578947368421,0.2631578947368421,0.0,0.55408,0.54186,-0.012220000000000009,general
obliqa,0331cf30-555d-4bc3-8da1-25f29ddf2a6b,0.479,0.03632,-0.44267999999999996,0.47144,0.9952,0.52376,-0.52376,0.05263157894736842,0.0,-0.05263157894736842,0.3534,0.01371,-0.33969,general
obliqa,04203236-609a-4b0d-801b-076cb1148734,0.50348,0.50802,0.0045399999999999885,0.3149,0.47638,0.16148,-0.16148,0.0625,0.0625,0.0,0.41703,0.36471,-0.05232000000000003,general
obliqa,0523dcb8-e703-48d1-84c2-98d315e4c0dc,0.00592,0.00651,0.0005900000000000002,0.02535,0.16135,0.13599999999999998,-0.13599999999999998,0.06666666666666667,0.06666666666666667,0.0,0.34908,0.30394,-0.04514000000000001,general
obliqa,058612c4-4b09-4bba-9e01-c36610d827c4,0.50669,0.71485,0.20816,0.02347,0.27508,0.25161,-0.25161,0.15789473684210525,0.10526315789473684,-0.05263157894736842,0.54704,0.51501,-0.03203,general
obliqa,05af36dc-d73e-42ac-8c51-44dce8bdd8e0,0.10608,0.58034,0.47425999999999996,0.00652,0.01226,0.00574,-0.00574,0.08695652173913043,0.043478260869565216,-0.043478260869565216,0.39551,0.53719,0.14167999999999997,task_aware
obliqa,063e5bb5-e06d-4177-99dd-292bab5f881c,0.07795,0.11681,0.03885999999999999,0.9942,0.99681,0.002610000000000001,-0.002610000000000001,0.0,0.0,0.0,0.02792,0.04,0.01208,task_aware
obliqa,066e11d7-2420-451e-bea9-b88b4ae6d790,0.02327,0.02327,0.0,0.99741,0.99741,0.0,0.0,0.0,0.0,0.0,0.00862,0.00862,0.0,equal
obliqa,06bb0644-8f6c-43fb-bdb1-a77bde63af11,0.66439,0.66067,-0.0037200000000000566,0.70016,0.81076,0.11060000000000003,-0.11060000000000003,0.0,0.0,0.0,0.32141,0.2833,-0.03810999999999998,general
obliqa,07d4272f-7173-4cf9-b6f7-cae1b4c482df,0.17597,0.65305,0.47708000000000006,0.07612,0.2754,0.19927999999999998,-0.19927999999999998,0.03125,0.125,0.09375,0.37703,0.50088,0.12385000000000002,task_aware
obliqa,09a9de56-f712-4478-87c9-3110a569d028,0.9648,0.97182,0.007020000000000026,0.72621,0.64922,-0.07699,0.07699,0.08333333333333333,0.08333333333333333,0.0,0.44064,0.46864,0.028000000000000025,task_aware
obliqa,0ad4aef8-f4bc-4082-a28d-104c04e267f1,0.2075,0.18069,-0.02681,0.10058,0.00558,-0.095,0.095,0.0,0.05,0.05,0.36897,0.40837,0.03939999999999999,task_aware
obliqa,0b1304c0-ead3-4808-9587-6fe3d21683cc,0.01569,0.36325,0.34756000000000004,0.02347,0.32217,0.2987,-0.2987,0.06976744186046512,0.023255813953488372,-0.046511627906976744,0.354,0.35478,0.0007800000000000029,task_aware
obliqa,0b30bdca-ee77-47dd-88ba-fc77466eb783,0.06095,0.10713,0.046180000000000006,0.99414,0.99735,0.003209999999999935,-0.003209999999999935,0.0,0.0,0.0,0.02227,0.03659,0.014319999999999996,task_aware
obliqa,0b3d0375-cac4-40e4-a734-0993b3ffb6cd,0.01255,0.03114,0.018590000000000002,0.99757,0.99595,-0.0016199999999999548,0.0016199999999999548,0.0,0.0,0.0,0.00499,0.01173,0.006740000000000001,task_aware
obliqa,0cdc1757-a9c9-434c-b1ca-17b15e736354,0.96617,0.59871,-0.36746,0.51841,0.77404,0.2556299999999999,-0.2556299999999999,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.53387,0.35181,-0.18205999999999994,general
obliqa,0ea7fcf5-cce4-427b-805f-137f441b045d,0.00555,0.49685,0.4913,0.05373,0.51147,0.45774,-0.45774,0.05263157894736842,0.0,-0.05263157894736842,0.33482,0.32846,-0.006360000000000032,general
obliqa,0fe80232-f866-467b-83f5-ec47f3f33a3b,0.82992,0.78817,-0.041749999999999954,0.61162,0.50731,-0.10431000000000001,0.10431000000000001,0.3333333333333333,0.16666666666666666,-0.16666666666666666,0.51721,0.48251,-0.03469999999999995,general
obliqa,1201243d-9f51-42cd-872e-a350cf9d52ed,0.56779,0.05892,-0.50887,0.27773,0.43467,0.15694000000000002,-0.15694000000000002,0.0,0.02531645569620253,0.02531645569620253,0.43002,0.21652,-0.21350000000000002,general
obliqa,12cb5029-6fd0-4bdd-8ce4-e00f4b5f2e96,0.73721,0.86233,0.12512,0.33242,0.27687,-0.05554999999999999,0.05554999999999999,0.13333333333333333,0.06666666666666667,-0.06666666666666667,0.51271,0.55071,0.038000000000000034,task_aware
obliqa,134b0050-73e7-43d1-a63f-3dbefc7da437,0.3701,0.65722,0.28712000000000004,0.02439,0.18308,0.15869,-0.15869,0.1,0.05,-0.05,0.4819,0.50805,0.026150000000000007,task_aware
obliqa,1600509a-d5e1-456e-9e71-18e8b14ace7d,0.02555,0.97605,0.9505,0.97775,0.97764,-0.0001100000000000545,0.0001100000000000545,0.041666666666666664,0.0,-0.041666666666666664,0.02982,0.3328,0.30297999999999997,task_aware
obliqa,168d016c-f958-4e6c-b5c2-6f28c81d4e7a,0.71276,0.7279,0.015140000000000042,0.02881,0.0195,-0.009309999999999999,0.009309999999999999,0.2857142857142857,0.21428571428571427,-0.07142857142857142,0.65655,0.6409,-0.015649999999999942,general
obliqa,17b49545-84f9-46a8-a7f0-1150e8f86170,0.61201,0.72432,0.11230999999999991,0.01035,0.02597,0.01562,-0.01562,0.07407407407407407,0.07407407407407407,0.0,0.55858,0.59081,0.03222999999999998,task_aware
obliqa,17dc6201-7ec3-4a39-92f2-6174141199d2,0.84994,0.66084,-0.18910000000000005,0.0762,0.13744,0.06124,-0.06124,0.4375,0.125,-0.3125,0.73708,0.54947,-0.18760999999999994,general
obliqa,18509a86-4ff8-457d-9d04-2ea36d92c4b2,0.36524,0.49267,0.12743,0.32774,0.41418,0.08644000000000002,-0.08644000000000002,0.16666666666666666,0.20833333333333334,0.041666666666666685,0.40139,0.42894,0.027549999999999963,task_aware
obliqa,18ad7ae1-0392-4860-ae50-891b4f1d3674,0.50356,0.51694,0.013379999999999947,0.58901,0.96617,0.37715999999999994,-0.37715999999999994,0.058823529411764705,0.058823529411764705,0.0,0.32446,0.2032,-0.12126000000000003,general
obliqa,19b25aff-075e-487b-8d0f-32f969da18c3,0.02818,0.02818,0.0,0.99501,0.99501,0.0,0.0,0.0,0.0,0.0,0.01106,0.01106,0.0,equal
obliqa,1ac35f2b-dc11-47c5-a445-5800b70253f6,0.83224,0.97986,0.14761999999999997,0.15932,0.16336,0.004040000000000016,-0.004040000000000016,0.0,0.11538461538461539,0.11538461538461539,0.55764,0.64396,0.08631999999999995,task_aware
obliqa,1b810301-9ad9-41fd-b54d-19505d2a1af4,0.33653,0.37128,0.03475,0.94125,0.35595,-0.5853,0.5853,0.125,0.16666666666666666,0.04166666666666666,0.17343,0.394,0.22057000000000002,task_aware
obliqa,1c5e6df5-a5b4-4c4f-bb1c-1785da803124,0.01992,0.02006,0.00014000000000000123,0.99546,0.99464,-0.0008200000000000429,0.0008200000000000429,0.0,0.0,0.0,0.00815,0.00847,0.00032000000000000084,task_aware
obliqa,1d4c46fd-623e-496d-b794-ab110dc2a15b,0.24923,0.38746,0.13823000000000002,0.4908,0.57768,0.08687999999999996,-0.08687999999999996,0.125,0.0625,-0.0625,0.29448,0.29076,-0.003720000000000001,general
obliqa,1da52f76-853c-47d7-904a-468f42a40ff5,0.9949,0.99527,0.00036999999999998145,0.94076,0.88478,-0.05598000000000003,0.05598000000000003,0.0,0.0,0.0,0.35138,0.37016,0.018779999999999963,task_aware
obliqa,1f1cf043-510d-41f7-8b17-92b3b5e48ae7,0.92365,0.64411,-0.27954,0.44322,0.36415,-0.07907000000000003,0.07907000000000003,0.0,0.0,0.0,0.49348,0.42665,-0.06683,general
obliqa,2295bb91-498a-4052-9d04-09d3642abe57,0.40151,0.30587,-0.09564,0.02142,0.01598,-0.00544,0.00544,0.20833333333333334,0.2916666666666667,0.08333333333333334,0.52947,0.52719,-0.0022799999999999487,general
obliqa,22de1d15-623f-4c1d-a571-0889153fe2a8,0.49282,0.40877,-0.08404999999999996,0.02777,0.02238,-0.005389999999999999,0.005389999999999999,0.038461538461538464,0.038461538461538464,0.0,0.50117,0.47495,-0.02622000000000002,general
obliqa,239394b9-5b11-460a-908d-3bfef7c1efbf,0.87,0.71609,-0.15391,0.52521,0.56621,0.041000000000000036,-0.041000000000000036,0.09523809523809523,0.14285714285714285,0.047619047619047616,0.48001,0.43091,-0.04909999999999998,general
obliqa,25d918a7-2a6b-4590-86e5-6c2fa40dce60,0.70715,0.33891,-0.36823999999999996,0.38318,0.23189,-0.15129,0.15129,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.47836,0.48012,0.0017599999999999838,task_aware
obliqa,266b8e30-e0d2-42b5-91da-6a71d0fba019,0.99269,0.99484,0.0021499999999999853,0.07319,0.16443,0.09123999999999999,-0.09123999999999999,0.0,0.0,0.0,0.63983,0.61014,-0.029689999999999994,general
obliqa,26a579af-77ae-4c1a-b728-f18efe0ab700,0.56386,0.4714,-0.09246000000000004,0.03118,0.15336,0.12218,-0.12218,0.08,0.08,0.0,0.53756,0.46601,-0.07155000000000006,general
obliqa,270bd76f-dfd8-4107-8248-afd60b9b37a2,0.53051,0.77849,0.24797999999999998,0.03184,0.05273,0.02089,-0.02089,0.2777777777777778,0.2222222222222222,-0.05555555555555558,0.59215,0.64933,0.05718000000000001,task_aware
obliqa,27acb29a-d8b9-452f-aae8-9f92f94809da,0.9684,0.95828,-0.010120000000000018,0.24379,0.09792,-0.14587,0.14587,0.0,0.0,0.0,0.57487,0.62012,0.04525000000000001,task_aware
obliqa,280d53b3-e089-49cd-8565-c93bf70ae5ee,0.5653,0.38401,-0.18129,0.37778,0.56829,0.19050999999999996,-0.19050999999999996,0.056338028169014086,0.0,-0.056338028169014086,0.41462,0.27191,-0.14271,general
obliqa,299c2afd-6719-445e-a1f7-766d5a7be12e,0.46506,0.51938,0.05431999999999998,0.51685,0.50729,-0.009560000000000013,0.009560000000000013,0.12,0.06,-0.06,0.35607,0.35736,0.0012900000000000134,task_aware
obliqa,29c72821-4dde-4c3d-b9d2-a556177964d1,0.96221,0.52643,-0.43578000000000006,0.67774,0.34068,-0.33706,0.33706,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.44265,0.42424,-0.018409999999999982,general
obliqa,2a9002cd-d281-4918-ae30-abbd18a08d58,0.9625,0.97291,0.01041000000000003,0.06818,0.08995,0.021769999999999998,-0.021769999999999998,0.0,0.0,0.0,0.63144,0.62765,-0.00378999999999996,general
obliqa,2be91ffc-e5ec-491d-bd7c-8166daff98ce,0.01484,0.01484,0.0,0.997,0.997,0.0,0.0,0.0,0.0,0.0,0.00595,0.00595,0.0,equal
obliqa,2e51f25d-6ecc-4d0e-8e3b-c187a8e628dc,0.40093,0.79348,0.39254999999999995,0.17407,0.33423,0.16016000000000002,-0.16016000000000002,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.45657,0.58165,0.12508000000000002,task_aware
obliqa,2e55518c-5a54-4478-9813-3e8590faf5a6,0.00645,0.48422,0.47777,0.41297,0.37982,-0.03315000000000001,0.03315000000000001,0.06666666666666667,0.2,0.13333333333333336,0.22005,0.4348,0.21475000000000002,task_aware
obliqa,2f53f842-d438-466c-b455-7eb69015b84e,0.28008,0.46134,0.18125999999999998,0.09579,0.36104,0.26525000000000004,-0.26525000000000004,0.21739130434782608,0.17391304347826086,-0.043478260869565216,0.46723,0.42474,-0.04248999999999997,general
obliqa,30d201ce-af6f-4e0a-8ec5-57b5ba73f307,0.06458,0.98826,0.9236800000000001,0.02129,0.10404,0.08274999999999999,-0.08274999999999999,0.06666666666666667,0.06666666666666667,0.0,0.36999,0.6503,0.28031,task_aware
obliqa,313147b7-c591-4d7b-9d4c-da9f3aafe9df,0.88641,0.71938,-0.16703,0.06078,0.52786,0.46708,-0.46708,0.058823529411764705,0.058823529411764705,0.0,0.62815,0.41678,-0.21137,general
obliqa,3147288c-4936-4ce9-bc30-c6a812aa278c,0.85152,0.62994,-0.22158,0.01869,0.6203,0.60161,-0.60161,0.0,0.0,0.0,0.61094,0.33655,-0.27439,general
obliqa,31ba2533-5ae4-4f75-bd54-af35d84c9cce,0.51175,0.46693,-0.044820000000000026,0.81429,0.72395,-0.09033999999999998,0.09033999999999998,0.22988505747126436,0.22988505747126436,0.0,0.30912,0.32429,0.015170000000000017,task_aware
obliqa,322ba7a7-d29c-405f-9aab-2ec74c0de748,0.51454,0.2451,-0.26944,0.03605,0.01168,-0.02437,0.02437,0.029411764705882353,0.029411764705882353,0.0,0.50263,0.42094,-0.08169000000000004,general
obliqa,332d77eb-3be3-4b49-a13d-ad7b0fb7e847,0.01717,0.01717,0.0,0.99168,0.99168,0.0,0.0,0.0,0.0,0.0,0.0085,0.0085,0.0,equal
obliqa,361cb94b-401a-477e-a3cd-ed9e4fafe94e,0.08345,0.00612,-0.07733,0.79714,0.99233,0.19519000000000009,-0.19519000000000009,0.0,0.0,0.0,0.09544,0.0046,-0.09084,general
obliqa,36eecfdb-ec1f-49c2-ac7d-364ca6108f59,0.48485,0.86495,0.3801,0.41632,0.14876,-0.26756,0.26756,0.015625,0.0625,0.046875,0.36138,0.5929,0.23152,task_aware
obliqa,38330ab5-facb-4bb3-a9d0-ff0da0562ff3,0.80526,0.64823,-0.15703,0.10259,0.01365,-0.08894,0.08894,0.22727272727272727,0.22727272727272727,0.0,0.64331,0.62062,-0.0226900000000001,general
obliqa,3a0a6e4d-2c5f-41ff-b88c-575ceaba1001,0.6301,0.42018,-0.20992,0.46095,0.50297,0.04202,-0.04202,0.13636363636363635,0.13636363636363635,0.0,0.43517,0.35119,-0.08398,general
obliqa,3c5a30b7-a782-47c3-906a-860b3bf15215,0.992,0.99411,0.0021100000000000563,0.01277,0.01669,0.00392,-0.00392,0.05555555555555555,0.05555555555555555,0.0,0.67826,0.67766,-0.0005999999999999339,general
obliqa,3c780664-fcc2-4278-9480-833da16226c2,0.07726,0.07726,0.0,0.99741,0.99741,0.0,0.0,0.0,0.0,0.0,0.02662,0.02662,0.0,equal
obliqa,3d548e84-caf5-46f2-a1f1-b2b1591ce394,0.29037,0.00154,-0.28883000000000003,0.50393,0.01131,-0.49262,0.49262,0.058823529411764705,0.0,-0.058823529411764705,0.28175,0.33008,0.048329999999999984,task_aware
obliqa,3d74050e-2804-487f-aaa6-ebe9b9dcb6af,0.49598,0.58696,0.09098000000000006,0.1275,0.98164,0.8541399999999999,-0.8541399999999999,0.05263157894736842,0.05263157894736842,0.0,0.4737,0.21932,-0.25438000000000005,general
obliqa,3d889f53-cf20-4e2e-b693-b4fc3d3cd16c,0.33197,0.57697,0.245,0.81151,0.5099,-0.30160999999999993,0.30160999999999993,0.11428571428571428,0.17142857142857143,0.05714285714285715,0.21158,0.41283,0.20124999999999998,task_aware
obliqa,3e32bd73-84c0-4083-af8c-06db86f1195c,0.56739,0.60022,0.032830000000000026,0.08028,0.22619,0.14590999999999998,-0.14590999999999998,0.17391304347826086,0.21739130434782608,0.043478260869565216,0.55367,0.53047,-0.0232,general
obliqa,3e5c788d-ce4b-4578-83cd-f2d7bdaa414c,0.83868,0.75847,-0.08021,0.10269,0.60732,0.5046299999999999,-0.5046299999999999,0.21739130434782608,0.13043478260869565,-0.08695652173913043,0.65113,0.42719,-0.22393999999999997,general
obliqa,3e5ceee0-9338-473e-8d00-5fc378ac6b3f,0.04482,0.04482,0.0,0.99562,0.99562,0.0,0.0,0.0,0.0,0.0,0.0164,0.0164,0.0,equal
obliqa,4097d393-e386-4704-a1ca-927cab626566,0.3958,0.88691,0.49111,0.87186,0.84202,-0.029839999999999978,0.029839999999999978,0.08333333333333333,0.08333333333333333,0.0,0.20242,0.37607,0.17365000000000003,task_aware
obliqa,414b7ada-90cd-45d2-8019-c072ccce3654,0.32352,0.62193,0.29841,0.96768,0.77468,-0.19299999999999995,0.19299999999999995,0.0,0.07142857142857142,0.07142857142857142,0.11861,0.30623,0.18762,task_aware
obliqa,418d79de-a717-43cc-b648-9da16c1e16ee,0.34795,0.37254,0.02459,0.02162,0.17272,0.1511,-0.1511,0.18181818181818182,0.22727272727272727,0.04545454545454544,0.50272,0.4757,-0.027019999999999933,general
obliqa,43009224-2008-41cf-aec5-10ca5d12881f,0.76258,0.32588,-0.43670000000000003,0.01997,0.00532,-0.014650000000000002,0.014650000000000002,0.11764705882352941,0.0,-0.11764705882352941,0.62009,0.44019,-0.1799,general
obliqa,43d3d0f6-2dd9-442b-94c8-761a0c24f336,0.98238,0.98204,-0.00034000000000000696,0.98689,0.81522,-0.1716700000000001,0.1716700000000001,0.0,0.0,0.0,0.33183,0.38894,0.057109999999999994,task_aware
obliqa,4489c1af-22ee-45b5-b4ff-1ddede0bb159,0.58829,0.55061,-0.037679999999999936,0.2014,0.17513,-0.026269999999999988,0.026269999999999988,0.29411764705882354,0.23529411764705882,-0.05882352941176472,0.56034,0.53692,-0.023419999999999996,general
obliqa,454fab18-30de-4cc5-8a6c-6cfc4caeb253,0.62677,0.27016,-0.35661000000000004,0.17035,0.52935,0.359,-0.359,0.2,0.2,0.0,0.55214,0.3136,-0.23853999999999997,general
obliqa,46034332-ced8-46fc-8f25-0412c8982f70,0.95007,0.91527,-0.03479999999999994,0.76261,0.79228,0.029669999999999974,-0.029669999999999974,0.1,0.1,0.0,0.42915,0.40766,-0.021489999999999954,general
obliqa,461d2359-63dd-409c-9495-d2b298af55ea,0.86577,0.35106,-0.51471,0.35937,0.14915,-0.21022000000000002,0.21022000000000002,0.3125,0.25,-0.0625,0.6063,0.48397,-0.12232999999999994,general
obliqa,46b744b5-89a3-488a-8ac8-9f3a8196dd4a,0.03588,0.03588,0.0,0.9891,0.9891,0.0,0.0,0.0,0.0,0.0,0.01559,0.01559,0.0,equal
obliqa,49044b42-914d-458d-acab-fb7227571b40,0.00525,0.00525,0.0,0.99673,0.99673,0.0,0.0,0.0,0.0,0.0,0.00284,0.00284,0.0,equal
obliqa,4a1e8261-eede-4ce6-9682-ffbdc7de008f,0.91732,0.14931,-0.7680100000000001,0.5013,0.69669,0.19539000000000006,-0.19539000000000006,0.0625,0.0625,0.0,0.49284,0.17171,-0.32113,general
obliqa,4a5a9de2-26cb-4624-b76d-08196b77bf47,0.99355,0.99381,0.00025999999999992696,0.99543,0.99573,0.00029999999999996696,-0.00029999999999996696,0.08,0.08,0.0,0.35937,0.35936,-1.0000000000010001e-05,general
obliqa,4ac308b7-9ec7-4f2c-8010-45e5a12c64d4,0.46573,0.00592,-0.45981,0.86261,0.99677,0.13416000000000006,-0.13416000000000006,0.07142857142857142,0.07142857142857142,0.0,0.22485,0.02686,-0.19799,general
obliqa,4ade1f5f-7c9d-45d0-b321-01940dcbb881,0.33852,0.38748,0.048960000000000004,0.84044,0.71132,-0.12912,0.12912,0.0,0.0,0.0,0.16603,0.22539,0.059359999999999996,task_aware
obliqa,4b2e6ba9-8953-4a39-a0bc-f0aa7e5fb20e,0.04309,0.06722,0.02413,0.93159,0.7673,-0.16429000000000005,0.16429000000000005,0.11764705882352941,0.11764705882352941,0.0,0.07638,0.13919,0.06281,task_aware
obliqa,4d814767-e346-4b20-aaea-065e6a2a64ce,0.02727,0.35564,0.32837,0.96894,0.97143,0.0024899999999999922,-0.0024899999999999922,0.0,0.0,0.0,0.01944,0.12807,0.10862999999999999,task_aware
obliqa,4fb7f750-1159-45f9-8649-615988f69510,0.77527,0.50915,-0.26612,0.40749,0.24734,-0.16015000000000001,0.16015000000000001,0.045454545454545456,0.045454545454545456,0.0,0.47108,0.43575,-0.03532999999999997,general
obliqa,4fcb9d6e-ac54-4d2f-b88a-bba74977389b,0.75376,0.0743,-0.67946,0.18582,0.01304,-0.17278000000000002,0.17278000000000002,0.05555555555555555,0.05555555555555555,0.0,0.54117,0.37227,-0.16890000000000005,general
obliqa,50077e7e-bf69-4791-be46-48efff0c61fb,0.98551,0.4988,-0.48671,0.73331,0.31044,-0.42287,0.42287,0.0,0.0,0.0,0.4174,0.39612,-0.021279999999999966,general
obliqa,517bf92b-dc3d-4935-8eeb-ef98a9ff8b35,0.65636,0.47886,-0.17750000000000005,0.02374,0.45725,0.43351,-0.43351,0.0,0.0,0.0,0.54421,0.34054,-0.20366999999999996,general
obliqa,5235abb8-2f86-44c2-813a-e90081a86cec,0.62624,0.5969,-0.029340000000000033,0.07104,0.37863,0.30759000000000003,-0.30759000000000003,0.07352941176470588,0.0661764705882353,-0.00735294117647059,0.54291,0.42815,-0.11476000000000003,general
obliqa,53af0731-41c0-4fe4-b8b7-41e1e648ccaa,0.8308,0.48486,-0.34593999999999997,0.03956,0.07795,0.03839000000000001,-0.03839000000000001,0.08,0.12,0.039999999999999994,0.62375,0.50897,-0.11478,general
obliqa,541d3172-c10b-4489-b538-e05e8eb65f99,0.61321,0.72959,0.11637999999999993,0.23343,0.0246,-0.20883,0.20883,0.05263157894736842,0.15789473684210525,0.10526315789473684,0.47747,0.62096,0.14348999999999995,task_aware
obliqa,5487dac4-b2e8-4944-a6fd-e67b47b15bf9,0.02099,0.03941,0.01842,0.96403,0.99339,0.02935999999999994,-0.02935999999999994,0.0,0.0,0.0,0.01899,0.01534,-0.0036500000000000005,general
obliqa,5530324b-06de-42ca-939a-2da8590f5a55,0.71393,0.8251,0.11116999999999999,0.00531,0.00624,0.0009300000000000003,-0.0009300000000000003,0.3076923076923077,0.23076923076923078,-0.07692307692307693,0.6721,0.68321,0.011109999999999953,task_aware
