dataset,metric,n_paired,mean_general,mean_task_aware,mean_delta,median_delta,std_delta,min_delta,max_delta,count_task_better,count_general_better,count_equal,percent_task_better,percent_general_better,count_task_lower_contradiction,count_general_lower_contradiction,mean_contradiction_reduction,paired_t_pvalue,wilcoxon_pvalue,test_note
obliqa,entailment_score,300,0.5069540666666666,0.4881817,-0.01877236666666667,0.0,0.250897446706708,-0.97469,0.97909,133,139,28,0.44333333333333336,0.4633333333333333,,,,,,scipy unavailable
obliqa,contradiction_score,300,0.4536941666666667,0.4771581333333333,0.023463966666666666,0.0,0.24186081430909753,-0.81307,0.98474,128,144,28,0.4266666666666667,0.48,128,144,-0.023463966666666666,,,scipy unavailable
obliqa,obligation_coverage_score,300,0.07818700048278429,0.08137926418041934,0.0031922636976350555,0.0,0.0641241438136886,-0.33333333333333337,0.25,74,62,164,0.24666666666666667,0.20666666666666667,,,,,,scipy unavailable
obliqa,composite_score,300,0.3771489333333333,0.3641343,-0.013014633333333334,0.0,0.12244990753658391,-0.5444,0.40274,131,141,28,0.43666666666666665,0.47,,,,,,scipy unavailable
obliqa_mp,entailment_score,300,0.5805957666666667,0.5743877333333333,-0.006208033333333334,0.0,0.24382996885707403,-0.7487699999999999,0.98012,148,146,6,0.49333333333333335,0.4866666666666667,,,,,,scipy unavailable
obliqa_mp,contradiction_score,300,0.31152123333333337,0.2994404,-0.012080833333333334,0.0,0.20756997166118135,-0.79714,0.6646,149,145,6,0.49666666666666665,0.48333333333333334,149,145,0.012080833333333334,,,scipy unavailable
obliqa_mp,obligation_coverage_score,300,0.11399285878445164,0.12231583602842953,0.00832297724397787,0.0,0.07103470879128643,-0.2857142857142857,0.3846153846153846,92,66,142,0.30666666666666664,0.22,,,,,,scipy unavailable
obliqa_mp,composite_score,300,0.4610226666666667,0.4657545,0.004731833333333335,0.0,0.11694840853628344,-0.46998,0.47789,145,149,6,0.48333333333333334,0.49666666666666665,,,,,,scipy unavailable
xref_adgm,entailment_score,300,0.6129474666666667,0.5751345,-0.03781296666666666,-0.0004950000000000232,0.22674998552145229,-0.78057,0.89003,134,154,12,0.44666666666666666,0.5133333333333333,,,,,,scipy unavailable
xref_adgm,contradiction_score,300,0.4883867333333333,0.48205480000000006,-0.006331933333333332,-0.0001349999999999841,0.20623747897519104,-0.7776500000000001,0.6326100000000001,151,137,12,0.5033333333333333,0.45666666666666667,151,137,0.006331933333333332,,,scipy unavailable
xref_adgm,obligation_coverage_score,300,0.10872545446944844,0.11685772509838808,0.00813227062893965,0.0,0.070074914445779,-0.43478260869565216,0.29411764705882354,85,48,167,0.2833333333333333,0.16,,,,,,scipy unavailable
xref_adgm,composite_score,300,0.4110952333333333,0.4033120333333333,-0.007783200000000003,-2.4999999999997247e-05,0.10652826391684567,-0.36573,0.4007,138,150,12,0.46,0.5,,,,,,scipy unavailable
